lifesat,peopletrust,freewill,takeadvan,married,childs,fightcountry,impdem,beatchild,wageearn,incomecat,sex,educ,sacsecvalr,resemavalr
1,0,1,4,0,4,1,8,5,1,3,0,1,47.188698,43.285301
2,1,5,6,1,3,1,9,6,0,1,0,5,54.077499,22.872
4,1,6,5,1,3,1,8,6,0,2,0,1,35.960701,28.257301
3,1,6,5,1,5,1,8,6,1,3,0,1,45.744198,16.582001
1,0,1,5,1,2,1,8,9,1,2,1,1,33.272099,19.462
8,0,10,1,1,3,1,10,1,1,6,1,2,7.9478002,31.3333
7,0,10,1,1,3,1,10,5,1,3,1,2,23.6478,26.385302
3,0,4,4,1,2,0,8,10,0,5,0,5,53.461498,25.32
6,0,10,4,0,0,1,10,7,1,7,1,4,11.3138,31.3333
3,0,3,3,0,0,1,3,7,0,3,1,1,42.406101,27.82
2,0,7,3,0,0,1,6,6,0,6,0,5,34.0448,27.82
7,0,7,8,1,0,0,9,1,0,4,0,1,17.0103,25.32
9,0,8,7,1,2,1,10,8,0,6,0,9,11.3138,5.0099998
4,0,4,4,1,1,1,8,3,0,2,0,1,62.971401,41.148701
4,0,4,5,1,0,0,7,6,1,4,1,5,47.989403,21.633301
7,1,7,1,0,0,1,10,8,0,6,0,1,22.188801,31.3333
4,0,5,8,1,0,1,10,1,1,3,1,1,23.375502,21.529999
1,0,1,1,1,1,1,10,1,0,1,0,6,23.5112,34.547298
10,0,9,9,1,2,1,10,1,0,3,0,5,23.5853,51.723999
10,0,10,9,1,1,1,10,1,0,4,0,5,27.107998,50.485302
10,0,8,9,0,0,1,10,1,0,3,0,5,39.070801,38.234001
7,0,8,6,1,0,1,10,7,1,6,1,5,19.399,19.030001
1,0,1,1,1,2,1,10,5,0,1,0,5,46.358299,25.700001
7,0,4,7,1,0,0,10,2,0,6,0,5,41.6054,43.596699
3,0,4,4,1,4,0,9,10,1,6,1,1,45.376301,15.620001
3,0,3,4,1,2,0,9,10,0,3,0,5,54.077499,32.52
8,0,8,4,0,1,0,9,1,0,1,0,1,41.1353,13.966701
7,1,8,7,1,2,1,9,6,1,2,1,1,34.924999,24.213999
9,1,9,8,0,0,0,9,2,0,1,0,3,55.980404,40.4053
6,0,6,6,1,2,1,10,7,1,5,1,9,19.399,27.82
5,0,7,6,1,1,1,10,8,0,5,0,5,6.2375002,25.043301
2,0,8,8,1,3,1,4,1,0,3,0,7,27.8346,29.795301
8,1,9,9,1,0,1,10,9,0,7,0,9,30.522099,39.4953
6,0,5,5,1,2,0,5,1,0,3,0,5,23.829199,43.32
4,0,4,5,1,0,0,8,2,0,3,0,1,48.6679,24.41
7,0,7,7,1,2,0,10,7,0,7,0,9,27.156099,40.93
1,0,2,8,0,0,1,10,1,0,2,1,8,32.774002,51.447304
8,1,8,7,0,0,1,10,4,1,7,1,5,30.516602,34.823997
10,0,8,9,0,0,1,10,6,0,1,0,1,31.973299,42.024002
6,0,4,5,1,3,0,9,1,1,3,1,3,19.031099,36.396702
1,0,1,1,1,0,1,10,5,0,1,0,2,23.115299,25.32
